point,sample,Unknown,Formicidae,Hymenoptera.other,Geococcus,Hemiptera.other,Isoptera,Blattodea.other,Coleoptera,Diptera,Thysanoptera,Psocodea,Lepidoptera,Orthoptera,Trichoptera,Neuroptera,Zoraptera,Mecoptera,Dermaptera,Zygentoma,Embioptera,Archaeognatha,Protura,Diplura,Entomobryomorpha,Poduromorpha,Symphypleona,Oribatida,Mesostigmata,Trombidiformes,acari.other,Araneae,Opiliones,Scorpiones,Pseudoscorpiones,Ixodida,Ricinulei,Schizomida,Palpigradi,Geophilomorpha,Lithobiomorpha,Scolopendromorpha,Scutigeromorpha,Polyxenida,Chordeumatida,Polydesmida,Spirobolida,Spirostreptida,other.diplopoda,Symphyla,Tetramerocerata,Isopoda,Amphipoda,[Annelida],Gastropoda,Nematoda
AZ001,AZSOIL001,,2,,96,,,,12,,2,,,,,,,,,,,,,1,12,1,3,160,,,86,,,,3,,,,,,,,,,,,,,,,,,,,,
AZ002,AZSOIL002,,,,108,,,,8,1,4,,1,,,,,,,,,,,6,12,,1,132,,,53,,,,,,,,,,,,,,,,,,,,,,,,,
AZ003,AZSOIL003,,2,1,66,,,,3,,3,1,1,,,,,,,,,,,1,5,,1,174,,,54,,,,,,,,,1,,,,,,,,,,,,,,,,
AZ004,AZSOIL004,,1,,11,,,,1,,,,,,,,,,,,,,,,,2,,161,,,27,,,,,,,,,,,,,,,,,,,,,,,,,
AZ005,AZSOIL005,,1,,34,,,,1,,3,1,,,,,,,,,,,,1,7,20,3,150,,,36,,,,2,,,,,,,,,,,,,,,,,,,,,
AZ006,AZSOIL006,,2,,38,,,,3,2,4,2,,,,,,,,,,,,13,20,,5,162,,,161,,,,1,,,,,,,,,,,,,,,,,,,,,
AZ007,AZSOIL007,,,,14,,,,5,1,3,1,,,,,,,,,,,5,1,4,,1,177,,,20,,,,1,,,,1,,,,,,,1,,,,,,,,,,
AZ008,AZSOIL008,,1,,38,2,,,2,6,6,,2,,,,,,,,,,,1,6,42,2,28,,,38,,,,1,1,,,,,,,,,,,,,,,1,,,,,
AZ009,AZSOIL009,,60,,30,,,,1,,8,,,,,,,,,,1,,1,1,4,,,278,,,110,,,,4,,,,,,,,,,,,,,,,,,,,,
AZ010,AZSOIL010,,4,,1,,,,2,,,,,,,,,,,,,,,,,,,40,,,24,,,,,,,,,,,,,,,,,,,,,,,,,
